line;chla;chlb;totalchl;treatment;batch
SETI;0.51;0.20;0.72;Mock;A
SETI;0.36;0.19;0.57;E2;A
SETI;0.53;0.19;0.75;PTI;A
SETI;0.23;0.17;0.41;PE;A
SETIpad4;0.47;0.26;0.75;Mock;A
SETIpad4;0.31;0.21;0.54;E2;A
SETIpad4;0.46;0.26;0.74;PTI;A
SETIpad4;0.19;0.18;0.39;PE;A
SETIsag101;0.56;0.20;0.79;Mock;A
SETIsag101;0.37;0.31;0.70;E2;A
SETIsag101;0.59;0.23;0.85;PTI;A
SETIsag101;0.34;0.27;0.61;PE;A
SETIpad4sag101;0.54;0.21;0.78;Mock;A
SETIpad4sag101;0.56;0.24;0.83;E2;A
SETIpad4sag101;0.51;0.17;0.71;PTI;A
SETIpad4sag101;0.41;0.27;0.70;PE;A
SETIeds1;0.56;0.19;0.78;Mock;A
SETIeds1;0.46;0.20;0.69;E2;A
SETIeds1;0.51;0.16;0.70;PTI;A
SETIeds1;0.50;0.22;0.74;PE;A
SETI;0.51;0.30;0.84;Mock;B
SETI;0.36;0.16;0.58;E2;B
SETI;0.53;0.23;0.81;PTI;B
SETI;0.23;0.14;0.43;PE;B
SETIpad4;0.47;0.29;0.76;Mock;B
SETIpad4;0.31;0.22;0.58;E2;B
SETIpad4;0.46;0.25;0.82;PTI;B
SETIpad4;0.19;0.15;0.36;PE;B
SETIsag101;0.56;0.28;0.76;Mock;B
SETIsag101;0.37;0.27;0.69;E2;B
SETIsag101;0.59;0.26;0.80;PTI;B
SETIsag101;0.34;0.22;0.57;PE;B
SETIpad4sag101;0.54;0.15;0.78;Mock;B
SETIpad4sag101;0.56;0.30;0.78;E2;B
SETIpad4sag101;0.51;0.26;0.77;PTI;B
SETIpad4sag101;0.41;0.30;0.76;PE;B
SETIeds1;0.56;0.21;0.79;Mock;B
SETIeds1;0.46;0.18;0.84;E2;B
SETIeds1;0.51;0.27;0.75;PTI;B
SETIeds1;0.50;0.26;0.73;PE;B
SETI;0.42;0.26;0.69;Mock;C
SETI;0.27;0.20;0.49;E2;C
SETI;0.37;0.30;0.69;PTI;C
SETI;0.18;0.11;0.30;PE;C
SETIpad4;0.41;0.28;0.72;Mock;C
SETIpad4;0.27;0.18;0.46;E2;C
SETIpad4;0.38;0.26;0.66;PTI;C
SETIpad4;0.14;0.14;0.28;PE;C
SETIsag101;0.37;0.28;0.67;Mock;C
SETIsag101;0.39;0.18;0.59;E2;C
SETIsag101;0.35;0.29;0.67;PTI;C
SETIsag101;0.34;0.12;0.46;PE;C
SETIpad4sag101;0.45;0.21;0.68;Mock;C
SETIpad4sag101;0.39;0.30;0.72;E2;C
SETIpad4sag101;0.39;0.29;0.71;PTI;C
SETIpad4sag101;0.38;0.30;0.70;PE;C
SETIeds1;0.45;0.27;0.75;Mock;C
SETIeds1;0.45;0.27;0.74;E2;C
SETIeds1;0.45;0.28;0.75;PTI;C
SETIeds1;0.45;0.26;0.73;PE;C
SETI;0.38;0.31;0.69;Mock;D
SETI;0.33;0.20;0.53;E2;D
SETI;0.40;0.27;0.67;PTI;D
SETI;0.30;0.10;0.39;PE;D
SETIpad4;0.44;0.26;0.71;Mock;D
SETIpad4;0.35;0.14;0.49;E2;D
SETIpad4;0.41;0.23;0.65;PTI;D
SETIpad4;0.24;0.10;0.34;PE;D
SETIsag101;0.37;0.31;0.69;Mock;D
SETIsag101;0.41;0.22;0.64;E2;D
SETIsag101;0.43;0.22;0.65;PTI;D
SETIsag101;0.32;0.17;0.50;PE;D
SETIpad4sag101;0.44;0.22;0.66;Mock;D
SETIpad4sag101;0.45;0.22;0.67;E2;D
SETIpad4sag101;0.45;0.28;0.72;PTI;D
SETIpad4sag101;0.44;0.23;0.68;PE;D
SETIeds1;0.45;0.30;0.75;Mock;D
SETIeds1;0.45;0.29;0.73;E2;D
SETIeds1;0.46;0.27;0.73;PTI;D
SETIeds1;0.47;0.28;0.75;PE;D
