"contrast","DE genes","DAS genes","DE transcripts","DTU transcripts"
"SETI_WT.P-SETI_WT.mock",7212,110,8094,143
"SETI_WT.E-SETI_WT.mock",2159,66,2424,88
"SETI_WT.PE-SETI_WT.mock",5938,81,6312,114
"SETI_e.P-SETI_e.mock",9158,196,11069,243
"SETI_e.E-SETI_e.mock",0,25,4,16
"SETI_e.PE-SETI_e.mock",8962,194,10724,281
"SETI_p.P-SETI_p.mock",8851,156,10368,212
"SETI_p.E-SETI_p.mock",1374,29,1304,38
"SETI_p.PE-SETI_p.mock",8960,172,10497,244
"SETI_s.P-SETI_s.mock",8961,171,10577,200
"SETI_s.E-SETI_s.mock",2959,88,3089,126
"SETI_s.PE-SETI_s.mock",8349,154,9629,240
"SETI_ps.P-SETI_ps.mock",8243,153,9533,189
"SETI_ps.E-SETI_ps.mock",0,19,2,14
"SETI_ps.PE-SETI_ps.mock",8771,155,10242,217
