"";"Gene_ID";"SETI";"PAD4";"SAG101";"PAD4 SAG101"
"AT2G35940";"AT2G35940";-1,52841282;-0,096670013;-1,207451362;0,151146932
"AT1G69160";"AT1G69160";-1,622185059;0,445403826;-0,806489633;0,600193503
"AT2G17500";"AT2G17500";-1,984637565;0,639556815;0,13982147;-0,366825503
"AT1G76520";"AT1G76520";-1,194988912;0,341486395;-0,622468327;-0,100311735
"AT1G56010";"AT1G56010";-2,108218913;-1,302203859;-1,724671021;-0,515676867
"AT4G16670";"AT4G16670";-1,387272647;-0,328571275;-0,516670725;-0,051016278
"AT2G45210";"AT2G45210";-1,056724744;0,655731987;0,420450034;0,305966956
"AT1G55850";"AT1G55850";-1,491570868;-0,19594934;-1,493743753;-0,235013573
"AT4G17090";"AT4G17090";-1,438378142;-0,654031699;-1,34549576;0,101917401
"AT3G62660";"AT3G62660";-1,204755235;-0,364017641;-0,811304877;0,01576253
"AT4G02130";"AT4G02130";-1,345288031;-0,728080573;-1,405529737;-0,250905455
"AT2G25450";"AT2G25450";-1,85279469;-0,871186383;-1,503672352;0,107723294
"AT4G32190";"AT4G32190";-1,145131562;-0,683267306;-1,227430052;0,289954047
"AT1G68020";"AT1G68020";-1,10595558;-0,755564302;-0,804821264;-0,005396583
"AT1G12780";"AT1G12780";-1,11288318;-0,958951507;-1,143844559;-0,329953724
"AT3G58790";"AT3G58790";-1,038959292;-0,148014727;-0,201835199;0,061077407
"AT1G70290";"AT1G70290";-1,531797615;-0,536429295;-1,098607133;-0,074843603
"AT1G04770";"AT1G04770";-1,033540564;-0,467496927;-0,961004745;-0,296702572
"AT1G60140";"AT1G60140";-1,46208255;-0,515974053;-1,121059366;-0,186551541
"AT4G24010";"AT4G24010";-1,86972953;-0,747203412;-1,084487164;-0,156103537
"AT1G23870";"AT1G23870";-1,505119108;-0,358983198;-0,838205292;-0,483388532
"AT3G22190";"AT3G22190";-0,861611158;-0,669780543;-1,315939968;-0,129304985
"AT2G22125";"AT2G22125";-0,558304769;-0,151359228;-1,035784003;-0,104416679
"AT4G08920";"AT4G08920";-1,096052046;-0,719696474;-1,465509018;-0,178069906
"AT3G61460";"AT3G61460";-1,190466126;0,206053561;-0,761970121;-0,081998589
"AT1G01030";"AT1G01030";-1,74697248;-0,314247974;-0,387343571;-0,540810825
"AT3G62980";"AT3G62980";-1,236583449;-0,582214712;-1,428026401;-0,008025679
"AT2G44830";"AT2G44830";-1,765390587;-0,979863219;-1,482146541;0,280209783
"AT4G38840";"AT4G38840";-1,801813616;-1,288786922;-3,41055065;0,07220818
"AT4G14740";"AT4G14740";-1,06619365;-0,874833769;-1,460683943;-0,006419655
"AT2G01420";"AT2G01420";-1,392799683;-0,739515404;-1,99045909;-0,153043622
"AT4G34760";"AT4G34760";-2,287268396;-1,489650236;-3,221877837;-0,09553655
"AT2G45950";"AT2G45950";-1,161462972;-0,709656318;-0,967911194;0,167450819
"AT1G74840";"AT1G74840";-1,132277846;-0,765612666;-1,324260376;-0,176941625
"AT5G43700";"AT5G43700";-1,090250113;-1,046890614;-1,377774998;-0,010357073
"AT2G36910";"AT2G36910";-0,701298709;-0,483456299;-1,078705541;-0,047304305
"AT1G12820";"AT1G12820";-0,983085383;-0,69360741;-1,104824192;-0,064034961
"AT1G75500";"AT1G75500";-0,890323516;-0,335233615;-1,130490077;-0,177166723
"AT5G60450";"AT5G60450";-0,501557596;-0,450864513;-1,182997551;0,005047421
"AT5G12050";"AT5G12050";-0,072703437;0,082297493;-1,654509114;-0,291481803
"AT4G28050";"AT4G28050";-0,906436525;-0,436304544;-0,904817769;0,115633421
"AT2G01570";"AT2G01570";-1,367907963;-0,875710491;-1,583271017;0,062229062
"AT2G41940";"AT2G41940";-2,074493802;-1,64736714;-2,359062844;-0,208934326
"AT1G14920";"AT1G14920";-1,519874027;-0,564039378;-1,472184162;-0,255517103
"AT3G05120";"AT3G05120";-1,669633743;-1,202472751;-2,165834591;-0,153619817
"AT2G04240";"AT2G04240";-1,349399674;-1,208359105;-1,547451655;0,127099851
"AT2G20180";"AT2G20180";-1,281731339;-0,923942486;-1,88873413;-0,329186317
"AT2G18300";"AT2G18300";-1,304495398;-1,290569758;-2,386716197;-0,333685235
"AT3G19720";"AT3G19720";-0,59498474;-0,559958739;-1,327022552;0,043164237
"AT5G39860";"AT5G39860";-0,896036418;-0,607926774;-2,394831777;0,375286667
"AT4G25910";"AT4G25910";-1,07844587;-0,93448493;-1,688301169;0,172551955
"AT3G15095";"AT3G15095";-1,223764049;-0,898279303;-1,771836442;-0,04104076
"AT1G68890";"AT1G68890";-0,548974816;-0,495291837;-1,566484146;0,129276933
"AT5G21930";"AT5G21930";-0,664344082;-0,50952862;-1,517131046;-0,049222235
"AT5G38420";"AT5G38420";-0,482117202;-0,478561723;-1,287895419;0,095982294
"AT3G15850";"AT3G15850";-0,834486559;-0,648008618;-1,429078158;-0,162466809
"AT5G01920";"AT5G01920";-0,479261051;-0,396358191;-1,134490616;0,035300832
"AT4G31390";"AT4G31390";-0,567405891;-0,382879047;-1,208649794;0,193716535
"AT5G44660";"AT5G44660";-0,526948969;-0,308596085;-1,008114322;-0,019742011
"AT5G04810";"AT5G04810";-1,04912674;-0,868033149;-1,711082444;0,105557623
"AT1G31770";"AT1G31770";-1,816962647;-1,607065689;-2,305568545;0,336320965
"AT1G15690";"AT1G15690";-0,857111238;-0,651342233;-1,755576511;0,208282185
"AT5G55540";"AT5G55540";-0,433727671;-0,329055523;-1,31120603;0,164389966
"AT3G15030";"AT3G15030";-0,379811798;-0,213801866;-1,055392647;0,098873386
"AT3G48430";"AT3G48430";-0,599184659;-0,397942754;-1,018744397;0,23433659
"AT1G55350";"AT1G55350";-0,368562115;-0,330007795;-1,10825596;0,107645485
"AT4G25420";"AT4G25420";-1,106391466;-0,975620913;-2,794801932;-0,098814638
"AT3G52910";"AT3G52910";-2,314932002;0,175994539;-2,187665186;0,309971466
