"";"Gene_ID";"SETI";"PAD4";"SAG101";"PAD4_SAG101"
"AT2G41940";"AT2G41940";-2,074;-1,647;-2,359;-0,209
"AT1G31770";"AT1G31770";-1,817;-1,607;-2,306;0,336
"AT4G34760";"AT4G34760";-2,287;-1,49;-3,222;-0,096
"AT1G56010";"AT1G56010";-2,108;-1,302;-1,725;-0,516
"AT2G18300";"AT2G18300";-1,304;-1,291;-2,387;-0,334
"AT4G38840";"AT4G38840";-1,802;-1,289;-3,411;0,072
"AT2G04240";"AT2G04240";-1,349;-1,208;-1,547;0,127
"AT3G05120";"AT3G05120";-1,67;-1,202;-2,166;-0,154
"AT5G43700";"AT5G43700";-1,09;-1,047;-1,378;-0,01
"AT2G44830";"AT2G44830";-1,765;-0,98;-1,482;0,28
"AT4G25420";"AT4G25420";-1,106;-0,976;-2,795;-0,099
"AT1G12780";"AT1G12780";-1,113;-0,959;-1,144;-0,33
"AT4G25910";"AT4G25910";-1,078;-0,934;-1,688;0,173
"AT2G20180";"AT2G20180";-1,282;-0,924;-1,889;-0,329
"AT3G15095";"AT3G15095";-1,224;-0,898;-1,772;-0,041
"AT2G01570";"AT2G01570";-1,368;-0,876;-1,583;0,062
"AT4G14740";"AT4G14740";-1,066;-0,875;-1,461;-0,006
"AT2G25450";"AT2G25450";-1,853;-0,871;-1,504;0,108
"AT5G04810";"AT5G04810";-1,049;-0,868;-1,711;0,106
"AT1G74840";"AT1G74840";-1,132;-0,766;-1,324;-0,177
"AT1G68020";"AT1G68020";-1,106;-0,756;-0,805;-0,005
"AT4G24010";"AT4G24010";-1,87;-0,747;-1,084;-0,156
"AT2G01420";"AT2G01420";-1,393;-0,74;-1,99;-0,153
"AT4G02130";"AT4G02130";-1,345;-0,728;-1,406;-0,251
"AT4G08920";"AT4G08920";-1,096;-0,72;-1,466;-0,178
"AT2G45950";"AT2G45950";-1,161;-0,71;-0,968;0,167
"AT1G12820";"AT1G12820";-0,983;-0,694;-1,105;-0,064
"AT4G32190";"AT4G32190";-1,145;-0,683;-1,227;0,29
"AT3G22190";"AT3G22190";-0,862;-0,67;-1,316;-0,129
"AT4G17090";"AT4G17090";-1,438;-0,654;-1,345;0,102
"AT1G15690";"AT1G15690";-0,857;-0,651;-1,756;0,208
"AT3G15850";"AT3G15850";-0,834;-0,648;-1,429;-0,162
"AT5G39860";"AT5G39860";-0,896;-0,608;-2,395;0,375
"AT3G62980";"AT3G62980";-1,237;-0,582;-1,428;-0,008
"AT1G14920";"AT1G14920";-1,52;-0,564;-1,472;-0,256
"AT3G19720";"AT3G19720";-0,595;-0,56;-1,327;0,043
"AT1G70290";"AT1G70290";-1,532;-0,536;-1,099;-0,075
"AT1G60140";"AT1G60140";-1,462;-0,516;-1,121;-0,187
"AT5G21930";"AT5G21930";-0,664;-0,51;-1,517;-0,049
"AT1G68890";"AT1G68890";-0,549;-0,495;-1,566;0,129
"AT2G36910";"AT2G36910";-0,701;-0,483;-1,079;-0,047
"AT5G38420";"AT5G38420";-0,482;-0,479;-1,288;0,096
"AT1G04770";"AT1G04770";-1,034;-0,467;-0,961;-0,297
"AT5G60450";"AT5G60450";-0,502;-0,451;-1,183;0,005
"AT4G28050";"AT4G28050";-0,906;-0,436;-0,905;0,116
"AT3G48430";"AT3G48430";-0,599;-0,398;-1,019;0,234
"AT5G01920";"AT5G01920";-0,479;-0,396;-1,134;0,035
"AT4G31390";"AT4G31390";-0,567;-0,383;-1,209;0,194
"AT3G62660";"AT3G62660";-1,205;-0,364;-0,811;0,016
"AT1G23870";"AT1G23870";-1,505;-0,359;-0,838;-0,483
"AT1G75500";"AT1G75500";-0,89;-0,335;-1,13;-0,177
"AT1G55350";"AT1G55350";-0,369;-0,33;-1,108;0,108
"AT4G16670";"AT4G16670";-1,387;-0,329;-0,517;-0,051
"AT5G55540";"AT5G55540";-0,434;-0,329;-1,311;0,164
"AT1G01030";"AT1G01030";-1,747;-0,314;-0,387;-0,541
"AT5G44660";"AT5G44660";-0,527;-0,309;-1,008;-0,02
"AT3G15030";"AT3G15030";-0,38;-0,214;-1,055;0,099
"AT1G55850";"AT1G55850";-1,492;-0,196;-1,494;-0,235
"AT2G22125";"AT2G22125";-0,558;-0,151;-1,036;-0,104
"AT3G58790";"AT3G58790";-1,039;-0,148;-0,202;0,061
"AT2G35940";"AT2G35940";-1,528;-0,097;-1,207;0,151
"AT5G12050";"AT5G12050";-0,073;0,082;-1,655;-0,291
"AT3G52910";"AT3G52910";-2,315;0,176;-2,188;0,31
"AT3G61460";"AT3G61460";-1,19;0,206;-0,762;-0,082
"AT1G76520";"AT1G76520";-1,195;0,341;-0,622;-0,1
"AT1G69160";"AT1G69160";-1,622;0,445;-0,806;0,6
"AT2G17500";"AT2G17500";-1,985;0,64;0,14;-0,367
"AT2G45210";"AT2G45210";-1,057;0,656;0,42;0,306
